instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,check_out,check in
51,1/3/2011,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,3
52,1/3/2011,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,30
53,1/3/2011,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,63
54,1/3/2011,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,153
55,1/3/2011,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,81
56,1/3/2011,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,33
57,1/3/2011,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,41
58,1/3/2011,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,48
59,1/3/2011,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,53
60,1/3/2011,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,66
61,1/3/2011,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,58
62,1/3/2011,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,67
63,1/3/2011,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,146
64,1/3/2011,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,148
65,1/3/2011,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110,102
66,1/3/2011,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,49
67,1/3/2011,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,49
68,1/3/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,20
69,1/3/2011,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,11
70,1/4/2011,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,5
71,1/4/2011,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,2
72,1/4/2011,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,1
73,1/4/2011,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,2
74,1/4/2011,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,4
75,1/4/2011,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,36
76,1/4/2011,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,92
77,1/4/2011,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,177
78,1/4/2011,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,98
79,1/4/2011,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,37
80,1/4/2011,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,50
81,1/4/2011,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,66
82,1/4/2011,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,79
83,1/4/2011,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,54
84,1/4/2011,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,48
85,1/4/2011,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,68
86,1/4/2011,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,202
87,1/4/2011,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,179
88,1/4/2011,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,110
89,1/4/2011,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,53
90,1/4/2011,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48,48
91,1/4/2011,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,34
92,1/4/2011,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,9
93,1/5/2011,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6,6
94,1/5/2011,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,6
95,1/5/2011,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2
96,1/5/2011,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,2
97,1/5/2011,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,3
98,1/5/2011,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,33
99,1/5/2011,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,87
100,1/5/2011,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,192
101,1/5/2011,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,109
102,1/5/2011,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,53
103,1/5/2011,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,34
104,1/5/2011,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,74
105,1/5/2011,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,65
106,1/5/2011,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,52
107,1/5/2011,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,55
108,1/5/2011,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,85
109,1/5/2011,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,186
110,1/5/2011,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,166
111,1/5/2011,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,127
112,1/5/2011,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,82
113,1/5/2011,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,40
114,1/5/2011,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,41
115,1/5/2011,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19,18
116,1/6/2011,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11,11
117,1/6/2011,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4,4
118,1/6/2011,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2,2
119,1/6/2011,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,1
120,1/6/2011,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,4
121,1/6/2011,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,36
122,1/6/2011,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95,95
123,1/6/2011,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219,216
124,1/6/2011,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122,116
125,1/6/2011,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45,42
126,1/6/2011,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,57
127,1/6/2011,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84,78
128,1/6/2011,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,55
129,1/6/2011,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,59
130,1/6/2011,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62,54
131,1/6/2011,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,74
132,1/6/2011,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,163
133,1/6/2011,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,158
134,1/6/2011,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,109
135,1/6/2011,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,66
136,1/6/2011,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,48
137,1/6/2011,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,51
138,1/6/2011,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,19
139,1/7/2011,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,13
140,1/7/2011,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,5
141,1/7/2011,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,1
142,1/7/2011,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,1
143,1/7/2011,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5,5
144,1/7/2011,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34,26
145,1/7/2011,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,76
146,1/7/2011,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,190
147,1/7/2011,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,125
148,1/7/2011,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,47
149,1/7/2011,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,48
150,1/7/2011,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,50
151,1/7/2011,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,64
152,1/7/2011,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,43
153,1/7/2011,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,63
154,1/7/2011,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,82
155,1/7/2011,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187,178
156,1/7/2011,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,116
157,1/7/2011,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,92
158,1/7/2011,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,50
159,1/7/2011,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,39
160,1/7/2011,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,34
161,1/7/2011,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,14
162,1/8/2011,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,24
163,1/8/2011,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,15
164,1/8/2011,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13,16,13
165,1/8/2011,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,7
166,1/8/2011,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,1
167,1/8/2011,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,5
168,1/8/2011,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,2
169,1/8/2011,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,8
170,1/8/2011,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,15
171,1/8/2011,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,20
172,1/8/2011,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,56
173,1/8/2011,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,60
174,1/8/2011,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,90
175,1/8/2011,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,95
176,1/8/2011,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,83
177,1/8/2011,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,69
178,1/8/2011,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,68
179,1/8/2011,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,64
180,1/8/2011,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,52
181,1/8/2011,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,26
182,1/8/2011,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,28
183,1/8/2011,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,35
184,1/8/2011,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,33
185,1/8/2011,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,22
186,1/9/2011,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,24
187,1/9/2011,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,12
188,1/9/2011,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,11
189,1/9/2011,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,4
190,1/9/2011,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,1
191,1/9/2011,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,1
192,1/9/2011,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,1
193,1/9/2011,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,5
194,1/9/2011,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,10
195,1/9/2011,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,19
196,1/9/2011,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,49
197,1/9/2011,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,47
198,1/9/2011,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,79
199,1/9/2011,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,69
200,1/9/2011,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,64
201,1/9/2011,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,77
202,1/9/2011,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,79
203,1/9/2011,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,59
204,1/9/2011,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,44
205,1/9/2011,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,40
206,1/9/2011,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,38
207,1/9/2011,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,19
208,1/9/2011,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,10
209,1/9/2011,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,6
210,1/10/2011,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,3
211,1/10/2011,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,0
212,1/10/2011,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,3
213,1/10/2011,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,1
214,1/10/2011,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,2
215,1/10/2011,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,3
216,1/10/2011,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,31
217,1/10/2011,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,75
218,1/10/2011,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,184
219,1/10/2011,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,92
220,1/10/2011,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,31
221,1/10/2011,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,28
222,1/10/2011,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,47
223,1/10/2011,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,50
224,1/10/2011,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,47
225,1/10/2011,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,43
226,1/10/2011,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,70
227,1/10/2011,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,174
228,1/10/2011,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,154
229,1/10/2011,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,92
230,1/10/2011,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,73
231,1/10/2011,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,37
232,1/10/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,22
233,1/10/2011,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,18
234,1/11/2011,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,10
235,1/11/2011,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,3
236,1/11/2011,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,3
237,1/11/2011,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,6
238,1/11/2011,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,27
239,1/11/2011,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,2,97,99,97
240,1/11/2011,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,214
241,1/11/2011,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,127
242,1/11/2011,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,51
243,1/11/2011,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,31
244,1/11/2011,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,55
245,1/11/2011,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,46
246,1/11/2011,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,60
247,1/11/2011,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,45
248,1/11/2011,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,72
249,1/11/2011,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,130
250,1/11/2011,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,94
251,1/11/2011,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0,0,51,51,51
252,1/11/2011,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,32
253,1/11/2011,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,20
254,1/11/2011,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,28
255,1/11/2011,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19,18
256,1/12/2011,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7,7
257,1/12/2011,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,6
258,1/12/2011,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,1
259,1/12/2011,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5,5
260,1/12/2011,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16,16
261,1/12/2011,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54,54
262,1/12/2011,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128,125
263,1/12/2011,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81,78
264,1/12/2011,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39,39
265,1/12/2011,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35,32
266,1/12/2011,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55,52
267,1/12/2011,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49,49
268,1/12/2011,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44,44
269,1/12/2011,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49,48
270,1/12/2011,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68,63
271,1/12/2011,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139,139
272,1/12/2011,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137,135
273,1/12/2011,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83,82
274,1/12/2011,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56,54
